template,categoria,ordem,nome,filename,prompt
"restaurante","Porções",25,"Porção de Isca de Peixe","restaurante-porcao-de-isca-de-peixe.jpg","Porção de Isca de Peixe, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Porções",26,"Porção de Frango à Passarinha","restaurante-porcao-de-frango-a-passarinha.jpg","Porção de Frango à Passarinha, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Acompanhamentos",27,"Arroz Branco","restaurante-arroz-branco.jpg","Arroz Branco, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Acompanhamentos",28,"Feijão","restaurante-feijao.jpg","Feijão, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Acompanhamentos",29,"Farofa de Bacon","restaurante-farofa-de-bacon.jpg","Farofa de Bacon, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Acompanhamentos",30,"Salada Fresca do Dia","restaurante-salada-fresca-do-dia.jpg","Salada Fresca do Dia, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Acompanhamentos",31,"Pirão de Peixe","restaurante-pirao-de-peixe.jpg","Pirão de Peixe, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Sobremesas",32,"Pudim de Leite","restaurante-pudim-de-leite.jpg","Pudim de Leite, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Sobremesas",33,"Mousse de Maracujá","restaurante-mousse-de-maracuja.jpg","Mousse de Maracujá, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Sobremesas",34,"Bolo Caseiro do Dia","restaurante-bolo-caseiro-do-dia.jpg","Bolo Caseiro do Dia, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Sobremesas",35,"Cocada Cremosa","restaurante-cocada-cremosa.jpg","Cocada Cremosa, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Sobremesas",36,"Sorvete 2 Bolas","restaurante-sorvete-2-bolas.jpg","Sorvete 2 Bolas, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Sucos Naturais",37,"Suco de Laranja 500ml","restaurante-suco-de-laranja-500ml.jpg","Suco de Laranja 500ml, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Sucos Naturais",38,"Suco de Limão c/ Hortelã 500ml","restaurante-suco-de-limao-c-hortela-500ml.jpg","Suco de Limão c/ Hortelã 500ml, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Sucos Naturais",39,"Suco de Maracujá 500ml","restaurante-suco-de-maracuja-500ml.jpg","Suco de Maracujá 500ml, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Sucos Naturais",40,"Suco de Abacaxi c/ Hortelã 500ml","restaurante-suco-de-abacaxi-c-hortela-500ml.jpg","Suco de Abacaxi c/ Hortelã 500ml, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Sucos Naturais",41,"Água de Coco Natural 500ml","restaurante-agua-de-coco-natural-500ml.jpg","Água de Coco Natural 500ml, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Refrigerantes & Água",42,"Coca-Cola Lata 350ml","restaurante-coca-cola-lata-350ml.jpg","Coca-Cola Lata 350ml, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Refrigerantes & Água",43,"Coca-Cola 2L","restaurante-coca-cola-2l.jpg","Coca-Cola 2L, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Refrigerantes & Água",44,"Guaraná Antarctica 350ml","restaurante-guarana-antarctica-350ml.jpg","Guaraná Antarctica 350ml, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Refrigerantes & Água",45,"Guaraná Antarctica 2L","restaurante-guarana-antarctica-2l.jpg","Guaraná Antarctica 2L, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Refrigerantes & Água",46,"Água Mineral 500ml","restaurante-agua-mineral-500ml.jpg","Água Mineral 500ml, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Refrigerantes & Água",47,"Café Coado","restaurante-cafe-coado.jpg","Café Coado, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Combos & Promoções",48,"Combo Executivo + Suco","restaurante-combo-executivo-suco.jpg","Combo Executivo + Suco, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Combos & Promoções",49,"Combo Casal","restaurante-combo-casal.jpg","Combo Casal, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Combos & Promoções",50,"Combo Família","restaurante-combo-familia.jpg","Combo Família, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Combos & Promoções",51,"Combo Marmitão + Refri","restaurante-combo-marmitao-refri.jpg","Combo Marmitão + Refri, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"restaurante","Combos & Promoções",52,"Combo Parmegiana Completo","restaurante-combo-parmegiana-completo.jpg","Combo Parmegiana Completo, traditional brazilian restaurant dish, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Tradicionais",1,"Calabresa","pizzaria-calabresa.jpg","Calabresa, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Tradicionais",2,"Mussarela","pizzaria-mussarela.jpg","Mussarela, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Tradicionais",3,"Portuguesa","pizzaria-portuguesa.jpg","Portuguesa, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Tradicionais",4,"Frango com Catupiry","pizzaria-frango-com-catupiry.jpg","Frango com Catupiry, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Tradicionais",5,"Napolitana","pizzaria-napolitana.jpg","Napolitana, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Tradicionais",6,"Bacon","pizzaria-bacon.jpg","Bacon, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Tradicionais",7,"Atum","pizzaria-atum.jpg","Atum, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Tradicionais",8,"Palmito","pizzaria-palmito.jpg","Palmito, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Tradicionais",9,"Milho com Bacon","pizzaria-milho-com-bacon.jpg","Milho com Bacon, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Tradicionais",10,"Escarola com Bacon","pizzaria-escarola-com-bacon.jpg","Escarola com Bacon, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Tradicionais",11,"Aliche","pizzaria-aliche.jpg","Aliche, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Especiais",12,"Quatro Queijos","pizzaria-quatro-queijos.jpg","Quatro Queijos, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Especiais",13,"Pepperoni","pizzaria-pepperoni.jpg","Pepperoni, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Especiais",14,"Margherita","pizzaria-margherita.jpg","Margherita, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Especiais",15,"Strogonoff","pizzaria-strogonoff.jpg","Strogonoff, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Especiais",16,"Cheddar com Bacon","pizzaria-cheddar-com-bacon.jpg","Cheddar com Bacon, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Especiais",17,"Camarão","pizzaria-camarao.jpg","Camarão, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Especiais",18,"Lombo Canadense","pizzaria-lombo-canadense.jpg","Lombo Canadense, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Especiais",19,"A Moda da Casa","pizzaria-a-moda-da-casa.jpg","A Moda da Casa, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Doces",20,"Chocolate com Morango","pizzaria-chocolate-com-morango.jpg","Chocolate com Morango, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Doces",21,"Romeu e Julieta","pizzaria-romeu-e-julieta.jpg","Romeu e Julieta, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Doces",22,"Banana com Canela","pizzaria-banana-com-canela.jpg","Banana com Canela, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Doces",23,"Prestígio","pizzaria-prestigio.jpg","Prestígio, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Doces",24,"Nutella com Morango","pizzaria-nutella-com-morango.jpg","Nutella com Morango, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Pizzas Doces",25,"Chocolate Branco com Ovomaltine","pizzaria-chocolate-branco-com-ovomaltine.jpg","Chocolate Branco com Ovomaltine, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Calzones & Esfihas",26,"Calzone de Calabresa","pizzaria-calzone-de-calabresa.jpg","Calzone de Calabresa, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Calzones & Esfihas",27,"Calzone Quatro Queijos","pizzaria-calzone-quatro-queijos.jpg","Calzone Quatro Queijos, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Calzones & Esfihas",28,"Calzone de Frango com Catupiry","pizzaria-calzone-de-frango-com-catupiry.jpg","Calzone de Frango com Catupiry, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Calzones & Esfihas",29,"Esfiha de Carne (6un)","pizzaria-esfiha-de-carne-6un.jpg","Esfiha de Carne (6un), italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Calzones & Esfihas",30,"Esfiha de Queijo (6un)","pizzaria-esfiha-de-queijo-6un.jpg","Esfiha de Queijo (6un), italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Calzones & Esfihas",31,"Esfiha de Frango (6un)","pizzaria-esfiha-de-frango-6un.jpg","Esfiha de Frango (6un), italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Bordas Recheadas",32,"Borda de Catupiry","pizzaria-borda-de-catupiry.jpg","Borda de Catupiry, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Bordas Recheadas",33,"Borda de Cheddar","pizzaria-borda-de-cheddar.jpg","Borda de Cheddar, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Bordas Recheadas",34,"Borda de Bacon com Cheddar","pizzaria-borda-de-bacon-com-cheddar.jpg","Borda de Bacon com Cheddar, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Bordas Recheadas",35,"Borda de Chocolate","pizzaria-borda-de-chocolate.jpg","Borda de Chocolate, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Bebidas",36,"Coca-Cola 2L","pizzaria-coca-cola-2l.jpg","Coca-Cola 2L, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Bebidas",37,"Guaraná Antarctica 2L","pizzaria-guarana-antarctica-2l.jpg","Guaraná Antarctica 2L, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Bebidas",38,"Coca-Cola Lata 350ml","pizzaria-coca-cola-lata-350ml.jpg","Coca-Cola Lata 350ml, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Bebidas",39,"Guaraná Antarctica 350ml","pizzaria-guarana-antarctica-350ml.jpg","Guaraná Antarctica 350ml, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Bebidas",40,"Suco Natural 1L","pizzaria-suco-natural-1l.jpg","Suco Natural 1L, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Bebidas",41,"Heineken Long Neck 330ml","pizzaria-heineken-long-neck-330ml.jpg","Heineken Long Neck 330ml, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Bebidas",42,"Água Mineral 1,5L","pizzaria-agua-mineral-1-5l.jpg","Água Mineral 1,5L, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Combos",43,"Combo Pizza Média + Refri 2L","pizzaria-combo-pizza-media-refri-2l.jpg","Combo Pizza Média + Refri 2L, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Combos",44,"Combo 2 Pizzas Médias","pizzaria-combo-2-pizzas-medias.jpg","Combo 2 Pizzas Médias, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Combos",45,"Combo Família","pizzaria-combo-familia.jpg","Combo Família, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Combos",46,"Combo Broto + Refri","pizzaria-combo-broto-refri.jpg","Combo Broto + Refri, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Combos",47,"Combo Meio a Meio + Refri","pizzaria-combo-meio-a-meio-refri.jpg","Combo Meio a Meio + Refri, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"pizzaria","Combos",48,"Combo Esfihas 12un + Refri","pizzaria-combo-esfihas-12un-refri.jpg","Combo Esfihas 12un + Refri, italian pizza, pizzeria, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"lanchonete","Hambúrgueres Clássicos",1,"X-Burguer","lanchonete-x-burguer.jpg","X-Burguer, fast food, snack bar, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"lanchonete","Hambúrgueres Clássicos",2,"X-Salada","lanchonete-x-salada.jpg","X-Salada, fast food, snack bar, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"lanchonete","Hambúrgueres Clássicos",3,"X-Bacon","lanchonete-x-bacon.jpg","X-Bacon, fast food, snack bar, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"lanchonete","Hambúrgueres Clássicos",4,"X-Egg","lanchonete-x-egg.jpg","X-Egg, fast food, snack bar, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"lanchonete","Hambúrgueres Clássicos",5,"X-Calabresa","lanchonete-x-calabresa.jpg","X-Calabresa, fast food, snack bar, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"lanchonete","Hambúrgueres Clássicos",6,"X-Frango","lanchonete-x-frango.jpg","X-Frango, fast food, snack bar, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"lanchonete","Hambúrgueres Clássicos",7,"X-Tudo","lanchonete-x-tudo.jpg","X-Tudo, fast food, snack bar, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"lanchonete","Hambúrgueres Artesanais",8,"Smash Burger Simples","lanchonete-smash-burger-simples.jpg","Smash Burger Simples, fast food, snack bar, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"lanchonete","Hambúrgueres Artesanais",9,"Smash Burger Duplo","lanchonete-smash-burger-duplo.jpg","Smash Burger Duplo, fast food, snack bar, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
"lanchonete","Hambúrgueres Artesanais",10,"Burger Costela","lanchonete-burger-costela.jpg","Burger Costela, fast food, snack bar, professional food photography, overhead flat lay, white marble background, natural lighting, high resolution, appetizing, commercial quality, no text, no watermark, no people"
